,K,T,Local Vol,Implied Vol,BSM,MP
0,490,0.22,0.5622180132583926,0.5021860168457031,283.5632679295655,282.25
1,500,0.22,0.5573996367909245,0.5067021667480469,274.0416840960756,272.75
2,515,0.22,0.5527607473339811,0.5146359436035157,259.9628591070394,258.75
3,525,0.22,0.547127823300967,0.5156124084472657,250.58005493788284,249.45
4,540,0.22,0.5382708475596298,0.5153682922363282,236.61794956374467,235.65
5,550,0.22,0.5320459829755911,0.5141477111816406,227.38671175939953,226.55
6,560,0.22,0.5259057335616862,0.5125609558105468,218.23787704796763,217.55
7,590,0.22,0.5042501958116858,0.5018198425292968,191.11173702897418,190.95
8,600,0.22,0.49774621889533205,0.49840221557617187,182.2998368081233,182.35
9,625,0.22,0.48025571114571586,0.48729492797851565,160.65746805209403,161.25
10,650,0.22,0.4618785628553316,0.47374647827148436,139.69799611744367,140.85
11,675,0.22,0.4437779982678244,0.45922156372070316,119.65167191223946,121.35
12,700,0.22,0.42733643825024126,0.4453069396972656,100.85196345416807,103.05
13,725,0.22,0.41146148392343923,0.4309040832519532,83.3785205269329,85.95
14,750,0.22,0.39575754833441573,0.41564682006835935,67.35967227306475,70.15
15,775,0.22,0.38159590851123537,0.4009998474121093,53.15635065141879,55.95
16,800,0.22,0.3707195209498697,0.38879403686523434,41.15633839233601,43.75
17,825,0.22,0.3598977678075331,0.37561176147460934,30.94256933153946,33.1
18,850,0.22,0.3490745765887507,0.3613309631347656,22.488698365596008,24.05
19,875,0.22,0.3417495964810505,0.3496133850097656,16.111008814395035,17.0
20,465,0.32,0.46885805081163007,0.4188203308105468,307.7278591803576,306.85
21,475,0.32,0.4817389643896412,0.44225548706054685,298.5019639202336,297.55
22,500,0.32,0.4940809216798201,0.47057296752929684,275.5709742530018,274.65
23,510,0.32,0.49345432751748486,0.4742347106933594,266.40352895420654,265.55
24,515,0.32,0.4932796317923844,0.4760655822753906,261.86615348711695,261.05
25,525,0.32,0.4910071203069064,0.4772861633300781,252.77294164095395,252.05
26,550,0.32,0.48359666750962227,0.47716410522460934,230.3778408866088,229.95
27,565,0.32,0.4778541145569178,0.47496705932617184,217.1646533407299,216.95
28,575,0.32,0.4742512820141411,0.47350236206054686,208.5096339882095,208.45
29,585,0.32,0.46923006781562043,0.4703288513183594,199.84918122207046,199.95
30,600,0.32,0.4611691966618541,0.46471417846679686,187.0127324691545,187.35
31,615,0.32,0.45420538293379836,0.4599539123535156,174.5455010945753,175.15
32,625,0.32,0.44937637587735746,0.45641422729492187,166.37633036269324,167.15
33,635,0.32,0.44420418340976975,0.45238630981445316,158.30313383051464,159.25
34,650,0.32,0.43636360738788404,0.4460392883300781,146.44475326036047,147.65
35,675,0.32,0.4233086677976157,0.4349320007324219,127.4345652811221,129.05
36,685,0.32,0.4172531759782989,0.42943938598632814,119.99501672758544,121.75
