Date,Bid,Ask,Strike,OptionType
2/6/2017,14.5,18.9,902.5,c
2/6/2017,12.9,17.4,905,c
2/6/2017,12.3,16,907.5,c
2/6/2017,10.7,14.6,910,c
15/12/2017,56.3,60.3,900,c
15/12/2017,54.2,57.6,905,c
15/12/2017,51.5,54.9,910,c
15/12/2017,48.7,52.2,915,c
18/8/2017,40.5,41.8,,c
18/8/2017,37.7,39.1,,c
18/8/2017,35.3,36.8,,c
18/8/2017,32.8,34.1,,c
