Date,Bid,Ask,Strike,OptionType
7/4/2017,15.3,16.1,820,c
7/4/2017,13.8,14.6,822.5,c
7/4/2017,12.5,13.2,825,c
7/4/2017,9.6,10.4,820,p
19/5/2017,29.9,30.7,820,c
19/5/2017,22.9,23.7,820,p
19/5/2017,27.3,28,825,c
16/6/2017,34.6,35.7,820,c
16/6/2017,26.9,27.9,820,p
16/6/2017,32.1,32.9,825,c
